,Title,Channel,Length,Likes,Dislikes,Views,Comments,Uploaded,Depth,LikeRatio,Polarity,Minutes,views_str,likes_str,dislikes_str,pol_string,LikeRatio_str,plot_text
0,Community most ICONIC moments (Season 1),BubbleFlix,21:43,6611,191,328732,393,2020-12-09,0,97.192,0,22.0,328732,6611,191,0,97.192,Community most ICONIC moments (Season 1) <br>Polarity: 0<br>Views: 328732<br>Likes: 6611<br>LikeRatio: 97.192<br>Length: 21:43
1,Favorite Lines From Every Community Episode,GalahadGregory,14:55,12756,104,352782,422,2021-05-28,0,99.191,0,15.0,352782,12756,104,0,99.191,Favorite Lines From Every Community Episode <br>Polarity: 0<br>Views: 352782<br>Likes: 12756<br>LikeRatio: 99.191<br>Length: 14:55
2,Community and its Movie References Side by Side.,Yaron Baruch,13:47,23447,137,572995,909,2021-05-26,0,99.419,0,14.0,572995,23447,137,0,99.419,Community and its Movie References Side by Side. <br>Polarity: 0<br>Views: 572995<br>Likes: 23447<br>LikeRatio: 99.419<br>Length: 13:47
3,Best of Arrested Development,Virginia L,17:17,13841,285,961492,1017,2020-04-06,0,97.982,1,17.0,961492,13841,285,1,97.982,Best of Arrested Development <br>Polarity: 1<br>Views: 961492<br>Likes: 13841<br>LikeRatio: 97.982<br>Length: 17:17
4,The BEST of Abed Nadir: Community S01 | LeoAshe.com,Leo Ashe,19:59,10818,183,836876,782,2020-01-09,0,98.337,1,20.0,836876,10818,183,1,98.337,The BEST of Abed Nadir: Community S01 | LeoAshe.com <br>Polarity: 1<br>Views: 836876<br>Likes: 10818<br>LikeRatio: 98.337<br>Length: 19:59
5,In Conversation with the Cast of Community,Vulture,1:06:31,32384,315,1482687,3471,2019-11-19,0,99.037,0,67.0,1482687,32384,315,0,99.037,In Conversation with the Cast of Community <br>Polarity: 0<br>Views: 1482687<br>Likes: 32384<br>LikeRatio: 99.037<br>Length: 1:06:31
6,Film Theory: We Solved Community's Final Mystery! (Community),The Film Theorists,19:32,114653,2851,3672934,8186,2020-05-07,0,97.574,0,20.0,3672934,114653,2851,0,97.574,Film Theory: We Solved Community's Final Mystery! (Community) <br>Polarity: 0<br>Views: 3672934<br>Likes: 114653<br>LikeRatio: 97.574<br>Length: 19:32
7,The Day Community Died,Entertain The Elk,17:35,66532,1703,2569193,4655,2019-07-23,0,97.504,0,18.0,2569193,66532,1703,0,97.504,The Day Community Died <br>Polarity: 0<br>Views: 2569193<br>Likes: 66532<br>LikeRatio: 97.504<br>Length: 17:35
8,The Best Episode of Community,never nothing,15:19,20128,285,356993,1330,2020-05-01,0,98.604,1,15.0,356993,20128,285,1,98.604,The Best Episode of Community <br>Polarity: 1<br>Views: 356993<br>Likes: 20128<br>LikeRatio: 98.604<br>Length: 15:19
9,Community - Season 3 Full Outtakes!,TheLiuZhen,19:26,34547,483,4015254,2218,2012-08-15,0,98.621,0,19.0,4015254,34547,483,0,98.621,Community - Season 3 Full Outtakes! <br>Polarity: 0<br>Views: 4015254<br>Likes: 34547<br>LikeRatio: 98.621<br>Length: 19:26
