,Title,ID,Channel,Length,Likes,Dislikes,Views,Uploaded,LikeRatio,Layer,polarity,Polarity,Minutes,views_str,likes_str,dislikes_str,pol_string,LikeRatio_str,plot_text
0,Jannik Sinner | From Winless Rookie to World Champion in 2 Years,sOSeVfBhIpU,CULT TENNIS,10:46,5303,89,247288,2020-09-29,98.349,0,0.0,0,11.0,247288,5303,89,0,98.349,Jannik Sinner | From Winless Rookie to World Champion in 2 Years <br>Polarity: 0<br>Views: 247288<br>Likes: 5303<br>LikeRatio: 98.349<br>Length: 10:46
1,The Future Of Tennis | Jannik Sinner Court Level Practice (4K 60FPS) Australian Open 2021,xW-V5PSdM8Y,Liam Apilado,13:51,2548,36,333405,2021-02-15,98.607,0,0.0,0,14.0,333405,2548,36,0,98.607,The Future Of Tennis | Jannik Sinner Court Level Practice (4K 60FPS) Australian Open 2021 <br>Polarity: 0<br>Views: 333405<br>Likes: 2548<br>LikeRatio: 98.607<br>Length: 13:51
2,Roger Federer vs Rafael Nadal | Wimbledon 2019 | Full Match,wZnCcqm_g-E,Wimbledon,3:05:38,23765,922,3583296,2019-08-01,96.265,0,0.35,0,186.0,3583296,23765,922,0,96.265,Roger Federer vs Rafael Nadal | Wimbledon 2019 | Full Match <br>Polarity: 0<br>Views: 3583296<br>Likes: 23765<br>LikeRatio: 96.265<br>Length: 3:05:38
3,Donald Young | Rise and Fall of the American Tennis Prodigy,cSgtpYT_Jm4,CULT TENNIS,17:47,4442,196,342730,2020-07-10,95.774,0,0.05,0,18.0,342730,4442,196,0,95.774,Donald Young | Rise and Fall of the American Tennis Prodigy <br>Polarity: 0<br>Views: 342730<br>Likes: 4442<br>LikeRatio: 95.774<br>Length: 17:47
4,The Harsh Reality Behind How Much Tennis Players Make,xBNF7U_tpWE,CULT TENNIS,11:16,6851,163,342457,2020-12-04,97.676,0,0.13333333333333336,0,11.0,342457,6851,163,0,97.676,The Harsh Reality Behind How Much Tennis Players Make <br>Polarity: 0<br>Views: 342457<br>Likes: 6851<br>LikeRatio: 97.676<br>Length: 11:16
5,2019 Next Gen ATP Finals Official Documentary,Vwdq01RMD9I,ATP Tour,1:08:24,2556,36,189764,2020-01-23,98.611,1,0.0,0,68.0,189764,2556,36,0,98.611,2019 Next Gen ATP Finals Official Documentary <br>Polarity: 0<br>Views: 189764<br>Likes: 2556<br>LikeRatio: 98.611<br>Length: 1:08:24
6,Novak Djokovic vs Roger Federer Full Match | Australian Open 2016 Semi Final,uEDXMRYe0zo,Australian Open TV,2:38:41,9165,716,2782095,2016-02-25,92.754,1,0.0875,0,159.0,2782095,9165,716,0,92.754,Novak Djokovic vs Roger Federer Full Match | Australian Open 2016 Semi Final <br>Polarity: 0<br>Views: 2782095<br>Likes: 9165<br>LikeRatio: 92.754<br>Length: 2:38:41
7,Jannik Sinner vs Lorenzo Musetti Full Match - 08.05.2019 - Pre-qualificazioni IBI 2019,dWSmJ9z9fbE,JannikSinner_Updates,2:48:41,636,11,74837,2020-10-14,98.3,1,0.35,0,169.0,74837,636,11,0,98.3,Jannik Sinner vs Lorenzo Musetti Full Match - 08.05.2019 - Pre-qualificazioni IBI 2019 <br>Polarity: 0<br>Views: 74837<br>Likes: 636<br>LikeRatio: 98.3<br>Length: 2:48:41
8,Alla scoperta di Jannik Sinner- Marzo 2019,idRYVsdOoT4,JannikSinner_Updates,24:53,910,25,90330,2020-04-07,97.326,1,0.0,0,25.0,90330,910,25,0,97.326,Alla scoperta di Jannik Sinner- Marzo 2019 <br>Polarity: 0<br>Views: 90330<br>Likes: 910<br>LikeRatio: 97.326<br>Length: 24:53
9,Girls On Tour (Tennis Documentary) | Real Stories,DnHcaki-PO8,Real Stories,48:04,260,39,44929,2018-01-07,86.957,1,0.1,0,48.0,44929,260,39,0,86.957,Girls On Tour (Tennis Documentary) | Real Stories <br>Polarity: 0<br>Views: 44929<br>Likes: 260<br>LikeRatio: 86.957<br>Length: 48:04
10,ATP Next Gen: Life on Tour,ITOvPqPscwQ,ATP Tour,26:19,870,13,64520,2018-10-31,98.528,2,0.0,0,26.0,64520,870,13,0,98.528,ATP Next Gen: Life on Tour <br>Polarity: 0<br>Views: 64520<br>Likes: 870<br>LikeRatio: 98.528<br>Length: 26:19
11,2019 Next Gen ATP Finals Official Documentary,Vwdq01RMD9I,ATP Tour,1:08:24,2556,36,189764,2020-01-23,98.611,2,0.0,0,68.0,189764,2556,36,0,98.611,2019 Next Gen ATP Finals Official Documentary <br>Polarity: 0<br>Views: 189764<br>Likes: 2556<br>LikeRatio: 98.611<br>Length: 1:08:24
12,DAILY ROUTINE in Tenerife - Dominic Thiem,85ulCyVauW8,Dominic Thiem,06:37,8673,70,329645,2018-12-12,99.199,2,0.0,0,7.0,329645,8673,70,0,99.199,DAILY ROUTINE in Tenerife - Dominic Thiem <br>Polarity: 0<br>Views: 329645<br>Likes: 8673<br>LikeRatio: 99.199<br>Length: 06:37
13,Novak Djokovic vs Roger Federer Full Match | Australian Open 2016 Semi Final,uEDXMRYe0zo,Australian Open TV,2:38:41,9165,716,2782095,2016-02-25,92.754,2,0.0875,0,159.0,2782095,9165,716,0,92.754,Novak Djokovic vs Roger Federer Full Match | Australian Open 2016 Semi Final <br>Polarity: 0<br>Views: 2782095<br>Likes: 9165<br>LikeRatio: 92.754<br>Length: 2:38:41
14,Best Dancer? Best Fashion? Players Sound Off!,i4IwnlF0JQQ,ATP Tour,04:52,5575,59,352057,2020-11-18,98.953,2,0.8333333333333334,1,5.0,352057,5575,59,1,98.953,Best Dancer? Best Fashion? Players Sound Off! <br>Polarity: 1<br>Views: 352057<br>Likes: 5575<br>LikeRatio: 98.953<br>Length: 04:52
15,25 Minutes of Nick Kyrgios: One of a Kind!,wRscZpD0G8M,Tennis TV,25:56,7309,191,642730,2020-04-27,97.453,3,0.75,1,26.0,642730,7309,191,1,97.453,25 Minutes of Nick Kyrgios: One of a Kind! <br>Polarity: 1<br>Views: 642730<br>Likes: 7309<br>LikeRatio: 97.453<br>Length: 25:56
16,Rafael Nadal vs Nick Kyrgios | Wimbledon 2019 | Full Match,T4S5YmO0KOU,Wimbledon,3:05:03,6999,275,1023278,2019-08-01,96.219,3,0.35,0,185.0,1023278,6999,275,0,96.219,Rafael Nadal vs Nick Kyrgios | Wimbledon 2019 | Full Match <br>Polarity: 0<br>Views: 1023278<br>Likes: 6999<br>LikeRatio: 96.219<br>Length: 3:05:03
17,Top 100 Roger Federer Career ATP Points!,W2N0eGIZV-8,Tennis TV,46:52,5877,164,1006086,2020-08-08,97.285,3,0.625,1,47.0,1006086,5877,164,1,97.285,Top 100 Roger Federer Career ATP Points! <br>Polarity: 1<br>Views: 1006086<br>Likes: 5877<br>LikeRatio: 97.285<br>Length: 46:52
18,25 Tennis Shots SO GOOD the Opponent Had to Applaud 👏,OXaEUUUJJ7s,Tennis TV,10:06,27714,657,4158326,2020-04-11,97.684,3,0.7,1,10.0,4158326,27714,657,1,97.684,25 Tennis Shots SO GOOD the Opponent Had to Applaud 👏 <br>Polarity: 1<br>Views: 4158326<br>Likes: 27714<br>LikeRatio: 97.684<br>Length: 10:06
19,Top 10 ATP Tennis Meltdowns & Angry Moments in 2020!,yoLPLQDHR_E,Tennis TV,17:46,4879,121,573290,2020-12-18,97.58,3,0.0625,0,18.0,573290,4879,121,0,97.58,Top 10 ATP Tennis Meltdowns & Angry Moments in 2020! <br>Polarity: 0<br>Views: 573290<br>Likes: 4879<br>LikeRatio: 97.58<br>Length: 17:46
20,5 Times Gael Monfils Went GOD MODE 🔥,PIFc5Ir0guQ,Tennis TV,12:54,6641,116,545148,2020-04-17,98.283,4,0.0,0,13.0,545148,6641,116,0,98.283,5 Times Gael Monfils Went GOD MODE 🔥 <br>Polarity: 0<br>Views: 545148<br>Likes: 6641<br>LikeRatio: 98.283<br>Length: 12:54
21,The Most Genius Plays in Tennis!,f4BUFPqzLKc,Tennis TV,16:04,8260,218,1081463,2020-06-04,97.429,4,0.625,1,16.0,1081463,8260,218,1,97.429,The Most Genius Plays in Tennis! <br>Polarity: 1<br>Views: 1081463<br>Likes: 8260<br>LikeRatio: 97.429<br>Length: 16:04
22,2017 Laver Cup Doubles R. Nadal/R.Federer vs. S.Querrey/J.Sock / FULL MATCH,YPfoDgQSe94,Rafa Nadal - King of Tennis,1:34:14,6113,283,1328730,2017-09-24,95.575,4,0.35,0,94.0,1328730,6113,283,0,95.575,2017 Laver Cup Doubles R. Nadal/R.Federer vs. S.Querrey/J.Sock / FULL MATCH <br>Polarity: 0<br>Views: 1328730<br>Likes: 6113<br>LikeRatio: 95.575<br>Length: 1:34:14
23,Stefanos Tsitsipas vs Andrey Rublev | Monte Carlo 2021 Final Highlights,CyvkCHEdbKM,Tennis TV,08:33,3566,65,128461,2021-04-18,98.21,4,0.0,0,9.0,128461,3566,65,0,98.21,Stefanos Tsitsipas vs Andrey Rublev | Monte Carlo 2021 Final Highlights <br>Polarity: 0<br>Views: 128461<br>Likes: 3566<br>LikeRatio: 98.21<br>Length: 08:33
24,Gael Monfils Funny ATP Tennis Moments Compilation!,m-bJyRprBE4,Tennis TV,10:23,2760,51,243454,2020-09-01,98.186,4,0.3125,0,10.0,243454,2760,51,0,98.186,Gael Monfils Funny ATP Tennis Moments Compilation! <br>Polarity: 0<br>Views: 243454<br>Likes: 2760<br>LikeRatio: 98.186<br>Length: 10:23
