,Title,ID,Channel,Length,Likes,Dislikes,Views,Uploaded,LikeRatio,Layer,polarity,Polarity,Minutes,views_str,likes_str,dislikes_str,pol_string,LikeRatio_str,plot_text
0,The Harsh Reality Behind How Much Tennis Players Make,xBNF7U_tpWE,CULT TENNIS,11:16,6851,163,342457,2020-12-04,97.676,0,0.13333333333333336,0,11.0,342457,6851,163,0,97.676,The Harsh Reality Behind How Much Tennis Players Make <br>Polarity: 0<br>Views: 342457<br>Likes: 6851<br>LikeRatio: 97.676<br>Length: 11:16
1,The TRUTH behind Hawk Eye Accuracy | History of Line Tracking Technology in Tennis,ot3GGJ3tWbw,CULT TENNIS,10:04,11595,402,745822,2020-09-09,96.649,0,0.4,0,10.0,745822,11595,402,0,96.649,The TRUTH behind Hawk Eye Accuracy | History of Line Tracking Technology in Tennis <br>Polarity: 0<br>Views: 745822<br>Likes: 11595<br>LikeRatio: 96.649<br>Length: 10:04
2,Roger Federer vs Rafael Nadal | Wimbledon 2019 | Full Match,wZnCcqm_g-E,Wimbledon,3:05:38,23765,922,3583296,2019-08-01,96.265,0,0.35,0,186.0,3583296,23765,922,0,96.265,Roger Federer vs Rafael Nadal | Wimbledon 2019 | Full Match <br>Polarity: 0<br>Views: 3583296<br>Likes: 23765<br>LikeRatio: 96.265<br>Length: 3:05:38
3,The Adidas Tennis Racket was a Miserable Failure,d4jAAH_kyQs,CULT TENNIS,11:49,3585,72,121458,2021-03-15,98.031,0,0.6583333333333333,-1,12.0,121458,3585,72,-1,98.031,The Adidas Tennis Racket was a Miserable Failure <br>Polarity: -1<br>Views: 121458<br>Likes: 3585<br>LikeRatio: 98.031<br>Length: 11:49
4,The Fall of Bernard Tomic: Disgraced Tennis Star,ZnmstQH9Hto,CULT TENNIS,11:39,5162,200,271684,2021-02-09,96.27,0,0.0,0,12.0,271684,5162,200,0,96.27,The Fall of Bernard Tomic: Disgraced Tennis Star <br>Polarity: 0<br>Views: 271684<br>Likes: 5162<br>LikeRatio: 96.27<br>Length: 11:39
5,Match Fixing: The Professional Tennis Scandal Nobody is Talking About,pWtC3I4MCiU,CULT TENNIS,08:33,3567,113,146882,2020-10-16,96.929,1,0.1,0,9.0,146882,3567,113,0,96.929,Match Fixing: The Professional Tennis Scandal Nobody is Talking About <br>Polarity: 0<br>Views: 146882<br>Likes: 3567<br>LikeRatio: 96.929<br>Length: 08:33
6,Shocking Case of Tennis Stars Who Killed Their Parents,_BoyP6jx9kE,CULT TENNIS,10:07,1674,13,38330,2021-01-15,99.229,1,0.6,-1,10.0,38330,1674,13,-1,99.229,Shocking Case of Tennis Stars Who Killed Their Parents <br>Polarity: -1<br>Views: 38330<br>Likes: 1674<br>LikeRatio: 99.229<br>Length: 10:07
7,The TRUTH behind Hawk Eye Accuracy | History of Line Tracking Technology in Tennis,ot3GGJ3tWbw,CULT TENNIS,10:04,11595,402,745822,2020-09-09,96.649,1,0.4,0,10.0,745822,11595,402,0,96.649,The TRUTH behind Hawk Eye Accuracy | History of Line Tracking Technology in Tennis <br>Polarity: 0<br>Views: 745822<br>Likes: 11595<br>LikeRatio: 96.649<br>Length: 10:04
8,Roger Federer vs Rafael Nadal | Wimbledon 2019 | Full Match,wZnCcqm_g-E,Wimbledon,3:05:38,23765,922,3583296,2019-08-01,96.265,1,0.35,0,186.0,3583296,23765,922,0,96.265,Roger Federer vs Rafael Nadal | Wimbledon 2019 | Full Match <br>Polarity: 0<br>Views: 3583296<br>Likes: 23765<br>LikeRatio: 96.265<br>Length: 3:05:38
9,Cricket's Match Fixers l Al Jazeera Investigations,uYlk4izYVmw,Al Jazeera English,54:00,15560,1257,1441219,2018-05-27,92.525,1,0.0,0,54.0,1441219,15560,1257,0,92.525,Cricket's Match Fixers l Al Jazeera Investigations <br>Polarity: 0<br>Views: 1441219<br>Likes: 15560<br>LikeRatio: 92.525<br>Length: 54:00
10,Coria vs. Gaudio | The Biggest Choke in Tennis History,wyEUMWMCI0U,CULT TENNIS,18:14,3041,86,156975,2020-07-31,97.25,2,0.0,0,18.0,156975,3041,86,0,97.25,Coria vs. Gaudio | The Biggest Choke in Tennis History <br>Polarity: 0<br>Views: 156975<br>Likes: 3041<br>LikeRatio: 97.25<br>Length: 18:14
11,2004 Roland Garros Final G Gaudio vs G Coria ENG full match,hHZ6kB1ZS-U,Miguel Freitas,3:45:57,227,6,55529,2013-12-18,97.425,2,0.175,0,226.0,55529,227,6,0,97.425,2004 Roland Garros Final G Gaudio vs G Coria ENG full match <br>Polarity: 0<br>Views: 55529<br>Likes: 227<br>LikeRatio: 97.425<br>Length: 3:45:57
12,Donald Young | Rise and Fall of the American Tennis Prodigy,cSgtpYT_Jm4,CULT TENNIS,17:47,4442,196,342730,2020-07-10,95.774,2,0.05,0,18.0,342730,4442,196,0,95.774,Donald Young | Rise and Fall of the American Tennis Prodigy <br>Polarity: 0<br>Views: 342730<br>Likes: 4442<br>LikeRatio: 95.774<br>Length: 17:47
13,Jannik Sinner | From Winless Rookie to World Champion in 2 Years,sOSeVfBhIpU,CULT TENNIS,10:46,5303,89,247288,2020-09-29,98.349,2,0.0,0,11.0,247288,5303,89,0,98.349,Jannik Sinner | From Winless Rookie to World Champion in 2 Years <br>Polarity: 0<br>Views: 247288<br>Likes: 5303<br>LikeRatio: 98.349<br>Length: 10:46
14,Match Fixing: The Professional Tennis Scandal Nobody is Talking About,pWtC3I4MCiU,CULT TENNIS,08:33,3567,113,146882,2020-10-16,96.929,2,0.1,0,9.0,146882,3567,113,0,96.929,Match Fixing: The Professional Tennis Scandal Nobody is Talking About <br>Polarity: 0<br>Views: 146882<br>Likes: 3567<br>LikeRatio: 96.929<br>Length: 08:33
15,Marcus Willis | The Best Winning Streak in Wimbledon Tennis History,kF5ir7dpgl8,CULT TENNIS,12:06,4459,81,219023,2020-02-06,98.216,3,0.75,1,12.0,219023,4459,81,1,98.216,Marcus Willis | The Best Winning Streak in Wimbledon Tennis History <br>Polarity: 1<br>Views: 219023<br>Likes: 4459<br>LikeRatio: 98.216<br>Length: 12:06
