,Title,Channel,Length,Likes,Dislikes,Views,Comments,Uploaded,Depth,LikeRatio,Minutes,views_str,likes_str,dislikes_str,LikeRatio_str,plot_text
0,Ron Swanson and the Coffeepot Mystery - Parks and Recreation,Parks and Recreation,01:17,52248,246,1439200,1103,2020-04-28,1,99.531,1.283,1439200,52248,246,99.531,Ron Swanson and the Coffeepot Mystery - Parks and Recreation<br>Channel: Parks and Recreation<br>Views: 1439200<br>Likes: 52248<br>LikeRatio: 99.531<br>Length: 01:17
1,What Makes Ron Swanson Happy? - Parks and Recreation,Parks and Recreation,10:05,28639,410,2206704,686,2019-04-03,1,98.589,10.083,2206704,28639,410,98.589,What Makes Ron Swanson Happy? - Parks and Recreation<br>Channel: Parks and Recreation<br>Views: 2206704<br>Likes: 28639<br>LikeRatio: 98.589<br>Length: 10:05
2,Jim's Pranks Against Dwight - The Office US,The Office,12:03,637956,9004,43884364,13755,2017-07-08,1,98.608,12.05,43884364,637956,9004,98.608,Jim's Pranks Against Dwight - The Office US<br>Channel: The Office<br>Views: 43884364<br>Likes: 637956<br>LikeRatio: 98.608<br>Length: 12:03
3,April Ludgate: The Worst Assistant in the World | Parks & Recreation | Comedy Bites,Comedy Bites,09:32,11338,195,631551,382,2021-03-31,1,98.309,9.533,631551,11338,195,98.309,April Ludgate: The Worst Assistant in the World | Parks & Recreation | Comedy Bites<br>Channel: Comedy Bites<br>Views: 631551<br>Likes: 11338<br>LikeRatio: 98.309<br>Length: 09:32
4,Ron Swanson Hosts Pawnee Today | Parks & Recreation | Comedy Bites,Comedy Bites,04:01,4959,41,289857,173,2020-12-17,1,99.18,4.017,289857,4959,41,99.18,Ron Swanson Hosts Pawnee Today | Parks & Recreation | Comedy Bites<br>Channel: Comedy Bites<br>Views: 289857<br>Likes: 4959<br>LikeRatio: 99.18<br>Length: 04:01
5,Best of the Break Room | The Office U.S. | Comedy Bites,Comedy Bites,10:06,8941,131,538068,289,2021-06-11,1,98.556,10.1,538068,8941,131,98.556,Best of the Break Room | The Office U.S. | Comedy Bites<br>Channel: Comedy Bites<br>Views: 538068<br>Likes: 8941<br>LikeRatio: 98.556<br>Length: 10:06
6,Jake Peralta actually being an amazing detective slash genius | Brooklyn Nine-Nine,Comedy Bites,09:45,26736,186,870485,532,2021-06-14,1,99.309,9.75,870485,26736,186,99.309,Jake Peralta actually being an amazing detective slash genius | Brooklyn Nine-Nine<br>Channel: Comedy Bites<br>Views: 870485<br>Likes: 26736<br>LikeRatio: 99.309<br>Length: 09:45
8,Jerry's Perfect Life (and Wife!) | Parks & Recreation | Comedy Bites,Comedy Bites,10:43,11419,93,668155,674,2021-03-24,1,99.192,10.717,668155,11419,93,99.192,Jerry's Perfect Life (and Wife!) | Parks & Recreation | Comedy Bites<br>Channel: Comedy Bites<br>Views: 668155<br>Likes: 11419<br>LikeRatio: 99.192<br>Length: 10:43
9,So...who broke it? [We Bare Bears],soniana252,01:04,13617,132,272126,297,2019-01-18,1,99.04,1.067,272126,13617,132,99.04,So...who broke it? [We Bare Bears]<br>Channel: soniana252<br>Views: 272126<br>Likes: 13617<br>LikeRatio: 99.04<br>Length: 01:04
10,The Day Parks and Recreation Was Born,Entertain The Elk,13:25,26800,268,649438,2192,2021-02-16,2,99.01,13.417,649438,26800,268,99.01,The Day Parks and Recreation Was Born<br>Channel: Entertain The Elk<br>Views: 649438<br>Likes: 26800<br>LikeRatio: 99.01<br>Length: 13:25
11,The Best Of Ron Swanson (Parks and Recreation),witchorking,32:15,257762,7219,29340175,13004,2017-02-22,2,97.276,32.25,29340175,257762,7219,97.276,The Best Of Ron Swanson (Parks and Recreation)<br>Channel: witchorking<br>Views: 29340175<br>Likes: 257762<br>LikeRatio: 97.276<br>Length: 32:15
12,The Day It's Always Sunny In Philadelphia Was Born,Entertain The Elk,20:08,6735,98,173970,631,2021-04-20,2,98.566,20.133,173970,6735,98,98.566,The Day It's Always Sunny In Philadelphia Was Born<br>Channel: Entertain The Elk<br>Views: 173970<br>Likes: 6735<br>LikeRatio: 98.566<br>Length: 20:08
13,The Day Friends Died,Entertain The Elk,16:22,8644,370,228964,1019,2021-05-26,2,95.895,16.367,228964,8644,370,95.895,The Day Friends Died<br>Channel: Entertain The Elk<br>Views: 228964<br>Likes: 8644<br>LikeRatio: 95.895<br>Length: 16:22
14,The Day Community Died,Entertain The Elk,17:35,66739,1707,2576891,4660,2019-07-23,2,97.506,17.583,2576891,66739,1707,97.506,The Day Community Died<br>Channel: Entertain The Elk<br>Views: 2576891<br>Likes: 66739<br>LikeRatio: 97.506<br>Length: 17:35
16,Parks and Recreation 10th Anniversary Reunion at PaleyFest LA 2019: Full Conversation,The Paley Center for Media,1:12:10,11180,180,714494,931,2020-04-27,2,98.415,72.167,714494,11180,180,98.415,Parks and Recreation 10th Anniversary Reunion at PaleyFest LA 2019: Full Conversation<br>Channel: The Paley Center for Media<br>Views: 714494<br>Likes: 11180<br>LikeRatio: 98.415<br>Length: 1:12:10
17,The Parks and Recreation Cast Answers Fan Questions - Late Night with Seth Meyers,Late Night with Seth Meyers,13:36,45306,679,4913110,2288,2015-02-25,2,98.523,13.6,4913110,45306,679,98.523,The Parks and Recreation Cast Answers Fan Questions - Late Night with Seth Meyers<br>Channel: Late Night with Seth Meyers<br>Views: 4913110<br>Likes: 45306<br>LikeRatio: 98.523<br>Length: 13:36
18,An American Workplace - The History of The Office,InnoVision 3D,55:21,2611,37,114488,166,2021-02-12,2,98.603,55.35,114488,2611,37,98.603,An American Workplace - The History of The Office<br>Channel: InnoVision 3D<br>Views: 114488<br>Likes: 2611<br>LikeRatio: 98.603<br>Length: 55:21
19,Why THIS Episode Of Scrubs Hits So Hard,Nerdstalgic,09:11,21872,142,416528,1441,2021-04-30,2,99.355,9.183,416528,21872,142,99.355,Why THIS Episode Of Scrubs Hits So Hard<br>Channel: Nerdstalgic<br>Views: 416528<br>Likes: 21872<br>LikeRatio: 99.355<br>Length: 09:11
