Title,Channel,Length,Likes,Dislikes,Views,Comments,Uploaded,Depth,LikeRatio,Minutes,views_str,likes_str,dislikes_str,LikeRatio_str,plot_text
The First Paintball War | Community,Community,03:45,20511,222,1436204,708,2020-01-11,1,98.929,3.75,1436204,20511,222,98.929,The First Paintball War | Community<br>Channel: Community<br>Views: 1436204<br>Likes: 20511<br>LikeRatio: 98.929<br>Length: 03:45
Ambushed By Glee Club | Community,Community,03:30,7344,68,743231,246,2020-01-15,1,99.083,3.5,743231,7344,68,99.083,Ambushed By Glee Club | Community<br>Channel: Community<br>Views: 743231<br>Likes: 7344<br>LikeRatio: 99.083<br>Length: 03:30
The Fake Gun Finale | Community,Community,04:40,8635,36,309731,396,2021-02-27,1,99.585,4.667,309731,8635,36,99.585,The Fake Gun Finale | Community<br>Channel: Community<br>Views: 309731<br>Likes: 8635<br>LikeRatio: 99.585<br>Length: 04:40
Community and its Movie References Side by Side.,Yaron Baruch,13:47,26550,161,640172,984,2021-05-26,1,99.397,13.783,640172,26550,161,99.397,Community and its Movie References Side by Side.<br>Channel: Yaron Baruch<br>Views: 640172<br>Likes: 26550<br>LikeRatio: 99.397<br>Length: 13:47
Contemporary American Poultry | FULL EPISODE - Available For A Limited Time! | Community,Community,21:27,4051,19,93517,365,2021-05-19,1,99.533,21.45,93517,4051,19,99.533,Contemporary American Poultry | FULL EPISODE - Available For A Limited Time! | Community<br>Channel: Community<br>Views: 93517<br>Likes: 4051<br>LikeRatio: 99.533<br>Length: 21:27
Jeff and Annie Moments,GalahadGregory,22:09,1350,19,69651,89,2021-04-24,1,98.612,22.15,69651,1350,19,98.612,Jeff and Annie Moments<br>Channel: GalahadGregory<br>Views: 69651<br>Likes: 1350<br>LikeRatio: 98.612<br>Length: 22:09
Favorite Lines From Every Community Episode,GalahadGregory,14:55,15096,122,429651,509,2021-05-28,1,99.198,14.917,429651,15096,122,99.198,Favorite Lines From Every Community Episode<br>Channel: GalahadGregory<br>Views: 429651<br>Likes: 15096<br>LikeRatio: 99.198<br>Length: 14:55
Why Advanced Dungeons and Dragons is the Best Episode of Community,tylermsc,10:37,27959,441,865065,2844,2020-02-07,1,98.447,10.617,865065,27959,441,98.447,Why Advanced Dungeons and Dragons is the Best Episode of Community<br>Channel: tylermsc<br>Views: 865065<br>Likes: 27959<br>LikeRatio: 98.447<br>Length: 10:37
Honest Trailers | Invincible,Screen Junkies,05:24,62237,942,1527333,2815,2021-06-08,1,98.509,5.4,1527333,62237,942,98.509,Honest Trailers | Invincible<br>Channel: Screen Junkies<br>Views: 1527333<br>Likes: 62237<br>LikeRatio: 98.509<br>Length: 05:24
one annie moment from every episode of community,curse,08:42,11571,80,499074,532,2020-06-10,2,99.313,8.7,499074,11571,80,99.313,one annie moment from every episode of community<br>Channel: curse<br>Views: 499074<br>Likes: 11571<br>LikeRatio: 99.313<br>Length: 08:42
one jeff moment from every episode of community,curse,08:17,7827,56,283280,392,2020-06-17,2,99.29,8.283,283280,7827,56,99.29,one jeff moment from every episode of community<br>Channel: curse<br>Views: 283280<br>Likes: 7827<br>LikeRatio: 99.29<br>Length: 08:17
Favorite Lines From Every Community Episode,GalahadGregory,14:55,15096,122,429651,509,2021-05-28,2,99.198,14.917,429651,15096,122,99.198,Favorite Lines From Every Community Episode<br>Channel: GalahadGregory<br>Views: 429651<br>Likes: 15096<br>LikeRatio: 99.198<br>Length: 14:55
Jeff and Annie Moments,GalahadGregory,22:09,1350,19,69651,89,2021-04-24,2,98.612,22.15,69651,1350,19,98.612,Jeff and Annie Moments<br>Channel: GalahadGregory<br>Views: 69651<br>Likes: 1350<br>LikeRatio: 98.612<br>Length: 22:09
Contemporary American Poultry | FULL EPISODE - Available For A Limited Time! | Community,Community,21:27,4051,19,93517,365,2021-05-19,2,99.533,21.45,93517,4051,19,99.533,Contemporary American Poultry | FULL EPISODE - Available For A Limited Time! | Community<br>Channel: Community<br>Views: 93517<br>Likes: 4051<br>LikeRatio: 99.533<br>Length: 21:27
one troy moment from every episode of community,curse,07:03,20365,80,493094,719,2020-06-09,2,99.609,7.05,493094,20365,80,99.609,one troy moment from every episode of community<br>Channel: curse<br>Views: 493094<br>Likes: 20365<br>LikeRatio: 99.609<br>Length: 07:03
First & Last Lines Said By Community Characters! | Community,Community,17:54,8503,150,361796,519,2020-12-28,2,98.266,17.9,361796,8503,150,98.266,First & Last Lines Said By Community Characters! | Community<br>Channel: Community<br>Views: 361796<br>Likes: 8503<br>LikeRatio: 98.266<br>Length: 17:54
one britta moment from every episode of community,curse,09:09,6935,49,290609,541,2020-06-06,2,99.298,9.15,290609,6935,49,99.298,one britta moment from every episode of community<br>Channel: curse<br>Views: 290609<br>Likes: 6935<br>LikeRatio: 99.298<br>Length: 09:09
every episode of community out of context,pietro,13:25,6521,39,172980,252,2020-10-17,2,99.405,13.417,172980,6521,39,99.405,every episode of community out of context<br>Channel: pietro<br>Views: 172980<br>Likes: 6521<br>LikeRatio: 99.405<br>Length: 13:25
1(ish) Quote From Every Episode of Community,Verdana in BOLD,13:21,26385,240,877636,854,2020-06-11,2,99.099,13.35,877636,26385,240,99.099,1(ish) Quote From Every Episode of Community<br>Channel: Verdana in BOLD<br>Views: 877636<br>Likes: 26385<br>LikeRatio: 99.099<br>Length: 13:21
