,Title,Channel,Length,Likes,Dislikes,Views,Comments,Uploaded,Depth,LikeRatio,Minutes,views_str,likes_str,dislikes_str,LikeRatio_str,plot_text
0,Friends: Ross' Birthday Is a Little Pricey (Season 2 Clip) | TBS,TBS,02:37,33162,653,3245399,1066,2020-03-19,1,98.069,2.617,3245399,33162,653,98.069,Friends: Ross' Birthday Is a Little Pricey (Season 2 Clip) | TBS<br>Channel: TBS<br>Views: 3245399<br>Likes: 33162<br>LikeRatio: 98.069<br>Length: 02:37
1,Friends: Best Moments From Season 2 (Mashup) | TBS,TBS,56:52,121686,5439,17899831,4339,2020-08-20,1,95.722,56.867,17899831,121686,5439,95.722,Friends: Best Moments From Season 2 (Mashup) | TBS<br>Channel: TBS<br>Views: 17899831<br>Likes: 121686<br>LikeRatio: 95.722<br>Length: 56:52
2,Friends: Funniest Moments of Season 3 (Mashup) | TBS,TBS,53:30,75925,3614,11502036,2658,2020-10-28,1,95.456,53.5,11502036,75925,3614,95.456,Friends: Funniest Moments of Season 3 (Mashup) | TBS<br>Channel: TBS<br>Views: 11502036<br>Likes: 75925<br>LikeRatio: 95.456<br>Length: 53:30
3,Friends: Monica's Promotion Celebration is Not in the Budget (Season 2 Clip) | TBS,TBS,02:44,30193,672,3273886,1004,2020-03-20,1,97.823,2.733,3273886,30193,672,97.823,Friends: Monica's Promotion Celebration is Not in the Budget (Season 2 Clip) | TBS<br>Channel: TBS<br>Views: 3273886<br>Likes: 30193<br>LikeRatio: 97.823<br>Length: 02:44
4,Friends: Joey Finds Out (Season 5 Clip) | TBS,TBS,03:23,79657,1114,6604823,1975,2020-12-06,1,98.621,3.383,6604823,79657,1114,98.621,Friends: Joey Finds Out (Season 5 Clip) | TBS<br>Channel: TBS<br>Views: 6604823<br>Likes: 79657<br>LikeRatio: 98.621<br>Length: 03:23
5,Friends: Chandler Gets A Little Desperate (Season 1 Clip) | TBS,TBS,04:48,34098,878,4443534,664,2020-02-16,1,97.49,4.8,4443534,34098,878,97.49,Friends: Chandler Gets A Little Desperate (Season 1 Clip) | TBS<br>Channel: TBS<br>Views: 4443534<br>Likes: 34098<br>LikeRatio: 97.49<br>Length: 04:48
6,Friends: Ross Moves In With Chandler And Joey (Season 5 Clip) | TBS,TBS,05:17,2271,42,174567,88,2021-06-28,1,98.184,5.283,174567,2271,42,98.184,Friends: Ross Moves In With Chandler And Joey (Season 5 Clip) | TBS<br>Channel: TBS<br>Views: 174567<br>Likes: 2271<br>LikeRatio: 98.184<br>Length: 05:17
8,Friends: Emily Finds Out Rachel Has Been With Ross (Season 5 Clip) | TBS,TBS,03:46,6598,104,614044,505,2021-06-18,1,98.448,3.767,614044,6598,104,98.448,Friends: Emily Finds Out Rachel Has Been With Ross (Season 5 Clip) | TBS<br>Channel: TBS<br>Views: 614044<br>Likes: 6598<br>LikeRatio: 98.448<br>Length: 03:46
9,Friends: The Best of Joey and Chandler’s Friendship (Mashup) | TBS,TBS,25:28,80262,1580,6214507,1845,2020-10-05,1,98.069,25.467,6214507,80262,1580,98.069,Friends: The Best of Joey and Chandler’s Friendship (Mashup) | TBS<br>Channel: TBS<br>Views: 6214507<br>Likes: 80262<br>LikeRatio: 98.069<br>Length: 25:28
10,Friends: Monica and Chandler's Love Story (Mashup) | TBS,TBS,28:08,61741,1382,5376028,1988,2020-07-27,2,97.811,28.133,5376028,61741,1382,97.811,Friends: Monica and Chandler's Love Story (Mashup) | TBS<br>Channel: TBS<br>Views: 5376028<br>Likes: 61741<br>LikeRatio: 97.811<br>Length: 28:08
11,Friends: Ross and Rachel’s Love Story (Mashup) | TBS,TBS,29:56,43248,939,3455568,1838,2020-07-01,2,97.875,29.933,3455568,43248,939,97.875,Friends: Ross and Rachel’s Love Story (Mashup) | TBS<br>Channel: TBS<br>Views: 3455568<br>Likes: 43248<br>LikeRatio: 97.875<br>Length: 29:56
12,Friends: Best Moments From Season 2 (Mashup) | TBS,TBS,56:52,121686,5439,17899831,4339,2020-08-20,2,95.722,56.867,17899831,121686,5439,95.722,Friends: Best Moments From Season 2 (Mashup) | TBS<br>Channel: TBS<br>Views: 17899831<br>Likes: 121686<br>LikeRatio: 95.722<br>Length: 56:52
13,Friends: Funniest Moments of Season 3 (Mashup) | TBS,TBS,53:30,75925,3614,11502036,2658,2020-10-28,2,95.456,53.5,11502036,75925,3614,95.456,Friends: Funniest Moments of Season 3 (Mashup) | TBS<br>Channel: TBS<br>Views: 11502036<br>Likes: 75925<br>LikeRatio: 95.456<br>Length: 53:30
14,Friends: The Best of Joey and Chandler’s Friendship (Mashup) | TBS,TBS,25:28,80262,1580,6214507,1845,2020-10-05,2,98.069,25.467,6214507,80262,1580,98.069,Friends: The Best of Joey and Chandler’s Friendship (Mashup) | TBS<br>Channel: TBS<br>Views: 6214507<br>Likes: 80262<br>LikeRatio: 98.069<br>Length: 25:28
15,Friends: Chandler's Most Sarcastic Moments (Mashup) | TBS,TBS,14:35,168143,3291,12959355,4565,2020-06-08,2,98.08,14.583,12959355,168143,3291,98.08,Friends: Chandler's Most Sarcastic Moments (Mashup) | TBS<br>Channel: TBS<br>Views: 12959355<br>Likes: 168143<br>LikeRatio: 98.08<br>Length: 14:35
16,Friends: Best Thanksgiving Moments (Mashup) | TBS,TBS,21:46,65748,1949,6927563,2084,2020-11-17,2,97.121,21.767,6927563,65748,1949,97.121,Friends: Best Thanksgiving Moments (Mashup) | TBS<br>Channel: TBS<br>Views: 6927563<br>Likes: 65748<br>LikeRatio: 97.121<br>Length: 21:46
17,Friends: Top 20 Funniest Moments | TBS,TBS,32:52,150854,5233,17018106,5393,2020-02-05,2,96.647,32.867,17018106,150854,5233,96.647,Friends: Top 20 Funniest Moments | TBS<br>Channel: TBS<br>Views: 17018106<br>Likes: 150854<br>LikeRatio: 96.647<br>Length: 32:52
19,Friends: Ross’s Pettiest Moments (Mashup) | TBS,TBS,20:12,70287,1959,7029684,3168,2020-05-04,2,97.288,20.2,7029684,70287,1959,97.288,Friends: Ross’s Pettiest Moments (Mashup) | TBS<br>Channel: TBS<br>Views: 7029684<br>Likes: 70287<br>LikeRatio: 97.288<br>Length: 20:12
20,Friends: Joey Finds Out (Season 5 Clip) | TBS,TBS,03:23,79657,1114,6604823,1975,2020-12-06,3,98.621,3.383,6604823,79657,1114,98.621,Friends: Joey Finds Out (Season 5 Clip) | TBS<br>Channel: TBS<br>Views: 6604823<br>Likes: 79657<br>LikeRatio: 98.621<br>Length: 03:23
21,Friends: Monica and Chandler's Love Story (Mashup) | TBS,TBS,28:08,61741,1382,5376028,1988,2020-07-27,3,97.811,28.133,5376028,61741,1382,97.811,Friends: Monica and Chandler's Love Story (Mashup) | TBS<br>Channel: TBS<br>Views: 5376028<br>Likes: 61741<br>LikeRatio: 97.811<br>Length: 28:08
